"Patch_ID","Species","Life_Stage","Presence","Presence2","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
562,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,192903.8881,37034.8189,1,3394.970459,2792.6806640625,-6.738772869,0.729551136,209,30.57843971,35.51097488,23.87596703,35.81487274,9724.28435452734,0.0551192648392203,17.2650134705485,160363.230125976,579979.270129932,0.00282485875706215,65
5807,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286762.7132,125678.5666,3,4878.635254,468.994964599609,-9.337973595,0.423098952,-8,30.49048042,35.51097488,23.45453453,36.55717468,1794.13385781129,0.131311398355398,2.67124227352035,147117.832348735,619703.001708961,0,420
1531,"LUT GRIS","SUBADULT","1","PRESENCE",3.625,0.0204802259887006,177,264128.6091,77229.1207,1,9293.610352,126.923881530762,-7.833960533,1.608633995,137,30.06592941,35.58291626,23.81289673,36.27033997,8529.22963870672,0.0397325035161734,13.2447196866596,303618.465569507,373139.680100631,0.201977401129944,142
1103,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,245587.9644,68677.4947,1,1944.005371,880.121948242188,-4.14561367,4.339845657,-8,30.67078209,35.96259308,24.02916527,36.32269669,6871.25795422382,0.0673843013609205,8.98719288774587,667423.295665534,87834.4628115828,0.196327683615819,131
6604,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286599.0852,128896.9533,1,4017.634521,283.994964599609,-6.72815609,0.408729911,64,30.46099663,35.54072571,23.369133,36.61700439,1701.71524456719,0.136623129677191,1.53760906491392,93128.2292456179,680030.249527792,0,438
7510,"LUT GRIS","SUBADULT","1","PRESENCE",5.25,0.0296610169491525,177,286382.445,124758.8034,1,4879.711914,1000.91882324219,-5.805088997,2.850901842,209,30.49299812,35.51097488,23.41828728,36.54947662,5372.65341347798,0.060887982815493,3.41961028417426,142904.666917549,634210.736881815,0,401
6112,"LUT GRIS","SUBADULT","1","PRESENCE",7,0.0395480225988701,177,283551.3462,125536.2943,1,1789.985229,3744.05590820312,-5.211340904,1.186838746,64,30.44894981,35.51097488,23.06860924,36.58605957,11731.1191150815,0.0521247174282017,10.4288546022134,17222.6633414505,768174.158446526,0.00282485875706215,415
79,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,167736.2532,29792.2488,5,4773.036133,3277.07104492188,-9.991229057,0.316441447,64,30.4303093,35.5839119,24.36016464,36.03510284,10701.8951683164,0.0391002949607171,43.3126544563301,48730.6842088458,269011.639040327,0,42
7387,"LUT GRIS","SUBADULT","1","PRESENCE",0.5,0.00282485875706215,177,286864.4668,126271.9311,1,4734.249023,521.187927246094,-10.96792698,0.765475094,-81,30.48691177,35.51097488,23.46201897,36.57125473,1479.32550283027,0.103006798794326,70.3295324545653,86451.4257382456,675272.39180841,0.00282485875706215,423
8302,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,291389.6041,141172.0639,6,11387.34766,0,-20.40110016,5.798619747,-8,30.34670067,35.55612946,23.79402351,35.82963181,130498.029395384,0.0300879601143328,20.9213881599803,439084.641144403,0,0.00282485875706215,462
4324,"LUT GRIS","SUBADULT","1","PRESENCE",11.375,0.0642655367231638,177,273830.7303,100092.7015,1,4839.833496,6196.955078125,-4.190255165,1.186263204,64,30.53881645,35.66057205,23.29850197,36.26662827,1673.50088078316,0.0960450258114039,30.5494810962966,28836.8980592038,674800.772379643,0.0346045197740113,231
1616,"LUT GRIS","SUBADULT","1","PRESENCE",22.875,0.129237288135593,177,263262.2928,83186.9328,1,3772.457764,4641.431640625,-4.312520504,1.198765755,137,30.32208633,35.57501602,23.38803101,36.38435364,8101.59600519654,0.0442665032704687,25.4834258814669,17069.4590652937,758414.120714283,0.0459039548022599,170
5118,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,270801.0115,87509.9318,1,7414.560059,1767.52307128906,-9.02889061,2.497328043,-8,30.14216042,35.58554459,23.58694649,36.43637848,5649.85515069728,0.0757297379470706,10.4512159724226,164691.144280509,268607.573567475,0.00918079096045198,189
2849,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,282118.9739,110916.1876,1,7179.144043,2100.35522460938,-5.435185432,1.244925976,209,30.43593025,35.51132965,23.46596336,36.19556808,1402.05706455834,0.0965104592775647,228.660494585745,222487.709659527,458913.76334291,0.00282485875706215,255
445,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,156126.1351,24443.0808,1,7753.031738,1149.35034179688,-6.638369083,1.202644467,209,30.38627052,35.54322433,24.52046585,36.08942795,6517.11232750542,0.0484443279260837,55.9098146988483,488266.750508268,225597.523071379,0,6
3759,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,284842.638,116311.606,1,6273.448242,1396.06604003906,-9.324040413,1.882364869,-8,30.4789753,35.51097488,23.44671631,36.00404739,2486.00230305259,0.0787853297036142,25.0820413705573,35589.5914654684,724598.497989261,0,314
6040,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285744.4073,123872.8545,3,4453.467285,2009.56884765625,-7.57232666,2.061131477,-8,30.49163437,35.51097488,23.35812378,36.55058289,571.855179868792,0.193622472306384,32.8435891695344,108825.693334804,675143.798495653,0.00282485875706215,390
180,"LUT GRIS","SUBADULT","1","PRESENCE",1.5,0.00847457627118644,177,153598.776,26363.025,4,4787.142578,3588.99487304688,-9.157219887,0.105981529,64,30.4043293,35.51097488,24.53722763,36.02125168,2755.1234578628,0.0971154955767212,40.1399955174437,88372.0843901965,697023.772721348,0.00282485875706215,21
5307,"LUT GRIS","SUBADULT","1","PRESENCE",6.482,0.0366214689265537,177,282981.6648,117634.9398,1,3859.61499,3718.77197265625,-8.15575695,0.773371339,-8,30.48397446,35.51097488,23.22854424,36.21304703,3169.1207034971,0.109254933406612,30.4797362726502,47427.075752735,600781.958420282,0,330
6395,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,288620.3677,129312.3429,1,6006.213379,255,-10.81536484,0.804612219,-81,30.46844101,35.51111603,23.60031128,36.33090591,1291.22084664832,0.165327784745352,12.9338857400597,85925.6275791442,149321.873240365,0.0169491525423729,441
1080,"LUT GRIS","SUBADULT","1","PRESENCE",33,0.186440677966102,177,202468.1142,39814.4509,1,5237.239258,1143.08654785156,-7.523027897,0.36449939,64,30.50498581,35.83589554,23.73609352,36.03541565,43927.5177936708,0.0188154817815645,365.713429679279,46880.2864094019,665851.601545007,0.00282485875706215,86
6709,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286803.0869,131082.9862,3,3975,1795.59924316406,-6.780079365,0.720532,64,30.43424606,35.54882431,23.3324337,36.56082153,799.677153249732,0.175554637371256,2.95190000068396,93408.1431864432,688654.044910293,0,444
1297,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,245467.9688,66490.5172,1,3335.264893,960.5634765625,-5.916165829,0.106295548,-8,30.62111092,35.72276688,24.09418678,36.3277626,8408.05567790176,0.0501031851435562,9.77998155722085,110136.685557176,601736.690579064,0.0310734463276836,121
4036,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286144.0485,115979.7696,5,7710.138672,162.781753540039,-14.33184433,1.147896171,-227,30.47533989,35.51097488,23.56792068,35.82678986,192.954327683905,0.26761432871503,16.0211199778569,197305.866149959,432130.346712954,0.00282485875706215,311
6448,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,287199.2821,125510.79,1,5384.051758,242.071075439453,-7.644083977,1.789408207,64,30.49509811,35.51097488,23.50609207,36.48793793,5137.11876074949,0.0919477428320384,3.22655223210619,199507.509838732,521171.602453922,0,413
5063,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,279195.0402,107857.737,3,5568.757324,1732.43688964844,-8.548053741,0.865169704,-8,30.43261719,35.51113129,23.37043953,36.25058746,703.879860365914,0.141231049259688,10.3901586552821,125236.178145451,473782.873663545,0.00282485875706215,244
60,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,161615.9819,28840.8013,1,3700.990234,4470,-8.393939018,0.77191174,137,30.4151268,35.51097488,24.640131,36.11146545,9978.73611352878,0.0479378511860033,52.4920410844841,76097.5957584246,628026.357223132,0,38
221,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,196586.6645,39521.1324,1,3935.447754,4297.38623046875,-8.138599396,0.084015377,-8,30.61166573,35.66224289,23.69843102,35.83063507,2131.45261124629,0.0808349327236378,34.414056756878,226273.000421165,454492.886621748,0.0127118644067797,85
937,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,159679.4605,28799.7466,1,3264.913818,5091.568359375,-7.802789211,0.731507659,137,30.41234779,35.54957962,24.70100594,36.11257935,10016.9755078111,0.0446191275099887,2.38846735562527,32339.0176378944,593619.841320021,0.00282485875706215,36
1058,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,189969.3423,36550.3841,1,2930,3648.88354492188,-9.167717934,0.263333052,-8,30.581707,35.54927444,23.96147537,35.83695602,11658.4482299409,0.0520238387049066,13.3271532314675,385058.214342043,270391.390708873,0.00282485875706215,60
6905,"LUT GRIS","SUBADULT","1","PRESENCE",10,0.0564971751412429,177,287244.9736,132692.2733,1,4062.695557,2248.5029296875,-8.94353199,0.753289104,-8,30.40925407,35.521698,23.35939026,36.49764633,3506.50526321033,0.110222695250486,27.7569453303731,23599.6846859891,761797.127840531,0.00847457627118644,452
928,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,156312.9312,24243.1221,1,8031.732422,916.213195800781,-9.275570869,0.587348163,64,30.38496971,35.55389404,24.51436615,36.08983994,39257.5295534339,0.0209815460168901,47.8720624538119,401082.158977366,150034.998637627,0,3
3727,"LUT GRIS","SUBADULT","1","PRESENCE",20.75,0.117231638418079,177,281843.3377,115516.4313,1,4382.848633,3746.17309570312,-7.327951908,0.423745394,-8,30.48052406,35.5277977,23.19409752,36.18818665,1056.22896778787,0.110879390060607,156.648129149481,18634.3612741735,738641.981159402,0.153954802259887,304
1175,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,263774.6668,78892.393,1,8097.63623,1508.67529296875,-3.989666939,3.096231222,137,30.11914825,35.56126785,23.70848465,36.39412689,25485.7839943311,0.0311819114062386,87.7884813384247,59478.9686725045,725917.308707857,0.00282485875706215,159
5736,"LUT GRIS","SUBADULT","1","PRESENCE",2.5,0.0141242937853107,177,287206.634,122679.1509,1,6369.949707,1186.45703125,-10.5670023,3.005034685,-154,30.50716019,35.51097488,23.52064133,36.24374771,1080.16363890373,0.132701064774833,29.1326089427063,151142.701541071,616651.443655151,0.00847457627118644,374
2424,"LUT GRIS","SUBADULT","1","PRESENCE",1.5,0.00847457627118644,177,285239.711,115749.1171,1,6900.407715,1034.49743652344,-6.095439911,2.480136156,282,30.47403717,35.51097488,23.50106239,35.92523193,585.343636183094,0.149460904228592,3.31882296573955,98871.4964092189,682056.059978601,0,307
791,"LUT GRIS","SUBADULT","1","PRESENCE",20,0.112994350282486,177,150351.2567,22948.2732,3,8557.716797,1129.49743652344,-8.318786621,0.691472411,64,30.4036293,35.83245087,24.37911606,36.02554703,103615.081618421,0.0131021608642035,585.418293019237,128910.259681579,341619.025697836,0.00282485875706215,1
1125,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,261955.4706,77940.2302,1,6824.518066,2419.66552734375,-3.957695484,0.133929431,137,30.20045471,35.67500305,23.82164574,36.3690834,278420.457247646,0.0156300983267402,114.599845898923,242081.232204084,542752.227084928,0.00282485875706215,146
5160,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,271079.0044,89508.6855,1,6866.133301,551.543273925781,-3.284007072,0.494400024,209,30.24751663,35.6146431,23.55169106,36.45400238,43144.4322389879,0.0224016743069493,45.0187443483997,356464.211079869,176889.786524879,0.00282485875706215,210
372,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,194809.6278,34001.3322,1,7219.047363,55,-18.16963005,1.272301078,-300,30.49764633,35.51097488,23.88343048,35.75336456,11804.6611048555,0.0421173652295484,17.4728337205526,340017.783847725,0,0,55
3599,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285388.1774,119470.2006,1,5509.533203,2117.69555664062,-9.173284531,3.050864935,-8,30.49561119,35.51097488,23.4035778,36.19745636,1653.81612254579,0.0886293825207952,26.7670751458318,65795.4476213486,653049.221568244,0,344
1247,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,238575.6993,62868.3634,2,6952.112793,4904.45751953125,-3.972171783,0.474383712,64,30.60836411,35.57403946,24.2916832,36.25621796,5314.26524262078,0.073511823452663,72.2489000419229,114328.940365178,260587.390624171,0,115
1981,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,283146.2484,113799.5219,1,6526.595703,1807.42639160156,-8.164346695,0.80518353,-8,30.46364594,35.51394653,23.39951897,36.09619904,2412.14115915313,0.0828344128481203,7.55913972454125,126184.422983954,659211.835451334,0,280
